tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,postcode,zip_city,community board,borocode,borough,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp,council district,census tract,bin,bbl
170796,314915,08/24/2015,41,0,OnCurb,Alive,Good,Acer platanoides,Norway maple,None,None,Damage,Volunteer,"RootOther,TrunkOther",No,No,Yes,No,No,Yes,No,No,No,14-001 113 STREET,11356,College Point,407,4,Queens,19,27,11,QN23,College Point,4092900,New York,40.7855742,-73.85411981,1024647.839,225516.3863,19,929,4097922,4040480004
170419,227455,08/24/2015,22,0,OnCurb,Alive,Good,Acer platanoides,Norway maple,None,None,Damage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,1550 EAST 8 STREET,11230,Brooklyn,312,3,Brooklyn,44,45,22,BK46,Ocean Parkway South,3044200,New York,40.61094838,-73.96552793,993821.2115,161863.2396,44,442,3175040,3066140029
159700,302384,08/19/2015,12,0,OnCurb,Alive,Good,Acer platanoides,Norway maple,1or2,None,NoDamage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,21-009 19 STREET,11105,Astoria,401,4,Queens,22,36,12,QN72,Steinway,4010300,New York,40.78294953,-73.91597681,1007519.027,224537.652,22,103,4020251,4008920027
131288,226944,08-09-15,23,0,OnCurb,Alive,Fair,Acer platanoides,Norway maple,1or2,Helpful,Damage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,30 STERLING STREET,11225,Brooklyn,309,3,Brooklyn,40,43,20,BK60,Prospect Lefferts Gardens-Wingate,3032700,New York,40.6625075,-73.95982735,995395.3688,180648.292,40,327,3034876,3013180023
166852,319650,08/22/2015,13,0,OnCurb,Alive,Poor,Acer platanoides,Norway maple,None,None,NoDamage,Volunteer,"RootOther,TrunkOther",No,No,Yes,No,No,Yes,No,No,No,80-020 215 STREET,11427,Queens Village,411,4,Queens,23,24,11,QN42,Oakland Gardens,4129102,New York,40.73348329,-73.75595235,1051885.661,206598.5412,23,129102,4164735,4077880051
156324,511766,08/18/2015,14,0,OnCurb,Alive,Fair,Acer platanoides,Norway maple,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1754 TOMLINSON AVENUE,10461,Bronx,211,2,Bronx,13,82,34,BX37,Van Nest-Morris Park-Westchester Square,2025400,New York,40.84933525,-73.85172194,1025272.547,248747.9146,13,254,2045052,2041100035
193583,301470,09-01-15,9,0,OnCurb,Alive,Good,Acer platanoides,Norway maple,1or2,None,NoDamage,Volunteer,BranchLights,No,No,No,No,No,No,Yes,No,No,43-020 23 AVENUE,11105,Astoria,401,4,Queens,22,36,12,QN72,Steinway,4013700,New York,40.76910085,-73.9055467,1010412.937,219495.0575,22,137,4014863,4007800030
174597,409167,08/25/2015,31,0,OnCurb,Alive,Good,Liquidambar styraciflua,sweetgum,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,380 DELAWARE AVENUE,10305,Staten Island,502,5,Staten Island,50,64,24,SI36,Old Town-Dongan Hills-South Beach,5007000,New York,40.58823855,-74.08850458,959668.2414,153600.0029,50,70,5049901,5033730046
173727,102134,08/25/2015,20,0,OnCurb,Alive,Good,Aesculus glabra,Ohio buckeye,1or2,Harmful,Damage,Volunteer,RootOther,No,No,Yes,No,No,No,No,No,No,301 WEST 4 STREET,10014,New York,102,1,Manhattan,3,66,27,MN23,West Village,1007700,New York,40.73689499,-74.00358611,983256.191,207747.3332,3,77,1010993,1006150001
170551,339194,08/24/2015,7,0,OnCurb,Alive,Fair,Styphnolobium japonicum,Sophora,None,None,Damage,TreesCount Staff,BranchLights,No,No,No,No,No,No,Yes,No,No,12-011 FRISCO AVENUE,11691,Far Rockaway,414,4,Queens,31,23,10,QN15,Far Rockaway-Bayswater,4101001,New York,40.60046522,-73.74663781,1054607.265,158143.8225,31,101001,4299003,4156140005
165611,216089,08/22/2015,10,0,OnCurb,Alive,Good,Liquidambar styraciflua,sweetgum,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,57 JEWEL STREET,11222,Brooklyn,301,3,Brooklyn,33,50,26,BK76,Greenpoint,3057100,New York,40.72636133,-73.94635859,999117.8518,203914.1227,33,571,3066316,3026520012
179248,409827,08/27/2015,9,0,OnCurb,Alive,Good,Liquidambar styraciflua,sweetgum,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,2222 RICHMOND AVENUE,10314,Staten Island,502,5,Staten Island,51,63,24,SI05,New Springville-Bloomfield-Travis,5022800,New York,40.59284161,-74.16353728,938831.3874,155306.9929,51,29103,5037444,5023600002
171141,349991,08/24/2015,15,0,OnCurb,Alive,Fair,Styphnolobium japonicum,Sophora,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,197 BEACH 24 STREET,11691,Far Rockaway,414,4,Queens,31,23,10,QN15,Far Rockaway-Bayswater,4099802,New York,40.59542651,-73.7582516,1051387.257,156298.9844,31,99802,4301647,4158150053
195309,102083,09-01-15,14,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,None,None,Damage,Volunteer,"RootOther,BranchOther",No,No,Yes,No,No,No,No,No,Yes,473 AVENUE OF THE AMERICAS,10011,New York,102,1,Manhattan,3,66,27,MN23,West Village,1007100,New York,40.7357081,-73.99817893,984754.6765,207314.8968,3,71,1010578,1006070043
189962,107175,08/30/2015,9,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,3or4,Helpful,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,212 EAST 63 STREET,10065,New York,108,1,Manhattan,4,76,28,MN31,Lenox Hill-Roosevelt Island,1011000,New York,40.76362307,-73.96388853,994253.4623,217487.276,4,110,1043849,1014170041
194356,303511,09-01-15,10,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,None,None,Damage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,45-051 37 STREET,11101,Long Island City,402,4,Queens,26,37,12,QN31,Hunters Point-Sunnyside-West Maspeth,4017900,New York,40.74243039,-73.92826539,1004127.969,209772.1737,26,179,4003171,4002240001
185063,505656,08/29/2015,2,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,1or2,None,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,4691 PARK AVENUE,10458,Bronx,206,2,Bronx,15,78,33,BX40,Fordham South,2038302,New York,40.85909696,-73.89254967,1013972.808,252287.9879,15,38302,2011227,2030320052
158174,230591,08/19/2015,30,0,OnCurb,Alive,Good,Liriodendron tulipifera,tulip-poplar,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,473 EAST 19 STREET,11226,Brooklyn,314,3,Brooklyn,40,42,21,BK42,Flatbush,3051800,New York,40.63904098,-73.9600716,995331.5037,172098.7644,40,518,3119486,3051830055
165576,348315,08/22/2015,6,0,OnCurb,Alive,Fair,Acer platanoides,Norway maple,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,112-001 77 AVENUE,11375,Forest Hills,406,4,Queens,29,27,14,QN17,Forest Hills,4075701,New York,40.71650512,-73.83319329,1030490.824,200362.6797,29,75701,4052782,4022660079
179430,305826,08/27/2015,18,0,OnCurb,Alive,Good,Acer platanoides,Norway maple,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,176-084 80 ROAD,11432,Jamaica,408,4,Queens,24,24,11,QN06,Jamaica Estates-Holliswood,4127700,New York,40.72572233,-73.78817631,1042961.93,203747.751,24,1277,4155465,4072280048
169605,312175,08/23/2015,10,0,OnCurb,Alive,Good,Acer platanoides,Norway maple,None,None,NoDamage,TreesCount Staff,BranchLights,No,No,No,No,No,No,Yes,No,No,40-034 PARSONS BOULEVARD,11354,Flushing,407,4,Queens,20,40,16,QN22,Flushing,4085500,New York,40.76089849,-73.82182411,1033609.595,216542.7586,20,855,4113659,4050230035
164689,505190,08/21/2015,5,0,OnCurb,Alive,Fair,Acer platanoides,Norway maple,1or2,None,NoDamage,Volunteer,"Stones,TrunkOther,BranchLights",Yes,No,No,No,No,Yes,Yes,No,No,2029 LA FONTAINE AVENUE,10457,Bronx,206,2,Bronx,15,86,33,BX17,East Tremont,2037504,New York,40.84797529,-73.8935215,1013708.906,248235.6118,15,37504,2011845,2030610059
186050,301625,08/29/2015,20,0,OnCurb,Alive,Good,Acer platanoides,Norway maple,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,21-032 79 STREET,11370,East Elmhurst,401,4,Queens,22,36,13,QN72,Steinway,4031700,New York,40.76966936,-73.89083846,1014486.764,219706.9186,22,317,4449214,4009747501
195966,108021,09-01-15,8,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,3or4,Harmful,Damage,Volunteer,"TrunkOther,BranchOther",No,No,No,No,No,Yes,No,No,Yes,10 EAST 85 STREET,10028,New York,108,1,Manhattan,4,73,28,MN40,Upper East Side-Carnegie Hill,1015001,New York,40.78041662,-73.96007527,995307.0081,223606.1874,4,15001,1046825,1014960065
180679,348711,08/27/2015,3,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,108-021 70 AVENUE,11375,Forest Hills,406,4,Queens,29,28,16,QN17,Forest Hills,4073900,New York,40.72322904,-73.8437543,1027558.819,202807.0075,29,739,4052322,4022210056
208530,103974,09-07-15,18,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,1or2,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,410 WEST 51 STREET,10019,New York,104,1,Manhattan,3,75,27,MN15,Clinton,1013300,New York,40.76437966,-73.9892713,987221.9904,217761.0485,3,133,1026693,1010600040
192177,203625,08/31/2015,9,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,1or2,None,NoDamage,TreesCount Staff,RootOther,No,No,Yes,No,No,No,No,No,No,9101 COLONIAL ROAD,11209,Brooklyn,310,3,Brooklyn,43,46,22,BK31,Bay Ridge,3005201,New York,40.62117761,-74.03768117,973789.3821,165590.3854,43,5201,3154614,3060840010
183689,410525,08/29/2015,10,0,OnCurb,Alive,Fair,Pyrus calleryana,Callery pear,None,None,Damage,TreesCount Staff,"Stones,TrunkOther,BranchLights",Yes,No,No,No,No,Yes,Yes,No,No,4816 HYLAN BOULEVARD,10312,Staten Island,503,5,Staten Island,51,62,24,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,5017600,New York,40.52700726,-74.16670128,937907.0182,131323.6383,51,176,5125707,5063540006
205683,106362,09-06-15,7,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,3or4,Helpful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,300 WEST 73 STREET,10023,New York,107,1,Manhattan,6,67,29,MN14,Lincoln Square,1015900,New York,40.78061277,-73.98415749,988637.5135,223675.5255,6,159,1030988,1011840019
