recordid,address,house_number,street,zip_original,cb_original,site,species,diameter,status,wires,sidewalk_condition,support_structure,borough,x,y,longitude,latitude,cb_new,zip_new,censustract_2010,censusblock_2010,nta_2010,segmentid,spc_common,spc_latin,location
436536,81-029 265 ST,81-029,265 ST,11004,413,Front,GIBI,4,Good,None,Good,None,Queens,1065817.39,210267.512,-73.705639,40.743436,413,11004,157901,3004,QN44,103338,GINKGO,GINKGO BILOBA,(40.743436 -73.705639)
328186,81-058 262 ST,81-058,262 ST,11004,413,Side,GIBI,3,Excellent,None,Good,None,Queens,1065103.188,209854.994,-73.708221,40.74231,413,11004,157902,3000,QN44,103299,GINKGO,GINKGO BILOBA,(40.74231 -73.708221)
130883,8624 GLENWOOD RD,8624,GLENWOOD RD,11236,218,Side,ACPS,11,Good,Yes,Raised,None,Brooklyn,1009122.288,172450.6767,-73.91038,40.639979,318,11236,958,2007,BK50,109935,MAPLE SYCAMORE,ACER PSEUDOPLATANUS,(40.639979 -73.91038)
183944,7001 COLONIAL RD,7001,COLONIAL RD,11209,210,Front,JUNI,1,Good,None,Good,None,Brooklyn,975492.8453,171231.2801,-74.031552,40.636663,310,11209,36,1002,BK31,17491,WALNUT BLACK,JUGLANS NIGRA,(40.636663 -74.031552)
89100,2780 RANDALL AV,2780,RANDALL AV,10465,110,Assigned,TICO,5,Excellent,None,Good,None,Bronx,1032446.72,239591.6565,-73.825856,40.824168,210,10465,144,2001,BX52,9007353,LINDEN LITTLE LEAF,TILIA CORDATA,(40.824168 -73.825856)
175043,7315 Avenue X,7315,Avenue X,11234,218,Front,PLAC,22,Good,None,Raised,None,Brooklyn,1011886.435,163691.977,-73.900456,40.61593,318,11234,706,2008,BK45,46027,LONDON PLANETREE,PLATANUS ACERIFOLIA,(40.61593 -73.900456)
152541,2417 FLATBUSH AV,2417,FLATBUSH AV,11234,218,Assigned,GIBI,3,Excellent,None,Good,None,Brooklyn,1005284.886,162013.6721,-73.924239,40.611341,318,11234,670,2010,BK45,167088,GINKGO,GINKGO BILOBA,(40.611341 -73.924239)
290241,18-015 147 ST,18-015,147 ST,11357,407,Front,ACPL,8,Dead,None,NA,None,Queens,1034431.004,224589.1892,-73.818799,40.782979,407,11357,1039,2005,QN49,92654,MAPLE NORWAY,ACER PLATANOIDES,(40.782979 -73.818799)
158573,3802 CLARENDON RD,3802,CLARENDON RD,11203,217,Side,ACPL,15,Good,Yes,Raised,None,Brooklyn,1000606.91,173807.7568,-73.941059,40.643724,317,11203,832,1000,BK91,41740,MAPLE NORWAY,ACER PLATANOIDES,(40.643724 -73.941059)
99911,631 41 ST,631,41 ST,11232,207,Front,ACPL,8,Excellent,None,Good,None,Brooklyn,983644.8341,175507.7673,-74.002181,40.648405,307,11232,88,2002,BK34,20976,MAPLE NORWAY,ACER PLATANOIDES,(40.648405 -74.002181)
246782,164-053 77 RD,164-053,77 RD,11366,408,Front,ACPL,8,Good,Yes,Good,None,Queens,1038738.748,203002.0937,-73.803419,40.723703,408,11366,1241,3005,QN38,179128,MAPLE NORWAY,ACER PLATANOIDES,(40.723703 -73.803419)
422367,46-076 192 ST,46-076,192 ST,11358,411,Side,GIBI,2,Good,Yes,Good,None,Queens,1042728.673,213242.75,-73.788935,40.751785,411,11358,1459,3000,QN48,97286,GINKGO,GINKGO BILOBA,(40.751785 -73.788935)
